GPK93_10g19210	hypothetical protein
GPK93_10g19220	hypothetical protein
GPK93_10g19230	helicase Nam7
GPK93_10g19240	hypothetical protein
GPK93_10g19250	spore wall protein 1
GPK93_10g19260	RNA helicase
GPK93_10g19270	enolase
GPK93_10g19280	RNAase P component 4
GPK93_10g19290	dynamin
GPK93_10g19300	m7GpppX diphosphatase
GPK93_10g19310	3-hydroxy-3-methylglutaryl CoA reductase
GPK93_10g19320	ubiquitin-like protein
GPK93_10g19330	Ras GTPase-activating-like protein
GPK93_10g19340	gamma-tubulin complex component
GPK93_10g19350	peptidyl-prolyl cis-trans isomerase
GPK93_10g19360	leucyl aminopeptidase
GPK93_10g19370	hypothetical protein
GPK93_10g19380	glycyl-tRNA synthetase
GPK93_10g19390	putative exportin
GPK93_10g19400	asparagine synthase B
GPK93_10g19410	immunoglobulin G-binding protein A-like protein
GPK93_10g19420	DUF1609 domain-containing protein
GPK93_10g19430	DUF1609 domain-containing protein
GPK93_10g19440	DUF2463 domain-containing protein
GPK93_10g19450	DUF2463 domain-containing protein
GPK93_10g19460	DUF2463 domain-containing protein
GPK93_10g19470	small subunit ribosomal RNA
GPK93_10g19480	large subunit ribosomal RNA
GPK93_11g19490	large subunit ribosomal RNA
GPK93_11g19500	small subunit ribosomal RNA
GPK93_11g19510	hypothetical protein
GPK93_11g19520	DUF2463 domain-containing protein
GPK93_11g19530	DUF1609 domain-containing protein
GPK93_11g19540	DUF2463 domain-containing protein
GPK93_11g19550	DUF2463 domain-containing protein
GPK93_11g19560	DUF1609 domain-containing protein
GPK93_11g19570	hypothetical protein
GPK93_11g19580	deoxynucleoside triphosphate triphosphohydrolase SAMHD1
GPK93_11g19590	DUF2463 domain-containing protein
GPK93_11g19600	DNA-3-methyladenine glycosylase
GPK93_11g19610	leucine-rich repeat domain-containing protein
GPK93_11g19620	dual specificity tyrosine-phosphorylation-regulated kinase 2
GPK93_11g19630	hypothetical protein
GPK93_11g19650	paired amphipathic helix protein Sin3b
GPK93_11g19660	putative polygalacturonase
GPK93_11g19670	hypothetical protein
GPK93_11g19680	RNA polymerase II transcription factor
GPK93_11g19690	ribosomal protein S21e
GPK93_11g19700	triosephosphate isomerase
GPK93_11g19710	exportin 1
GPK93_11g19720	bifunctional coenzyme A synthase
GPK93_11g19730	hypothetical protein
GPK93_11g19740	putative ap-2 complex subunit alpha 2
GPK93_11g19750	PINc domain-containing protein
GPK93_11g19760	CHY zinc finger domain-containing protein
GPK93_11g19770	RAB protein geranylgeranyltransferase subunit A
GPK93_11g19780	mediator of RNA polymerase II transcription subunit 31
GPK93_11g19790	DNA-directed RNA polymerase III subunit RPB2
GPK93_11g19800	ubiquitin
GPK93_11g19810	tRNA-Leu
GPK93_11g19820	hypothetical protein
GPK93_11g19830	exocyst complex subunit Sec6
GPK93_11g19840	transmembrane adaptor Erv26
GPK93_11g19850	proteasome non-ATPase regulatory subunit 8-like protein
GPK93_11g19860	tRNA-Met
GPK93_11g19870	putative signal transducer and activator of transcription
GPK93_11g19880	Sel1 repeat domain-containing protein
GPK93_11g19890	hypothetical protein
GPK93_11g19900	phosphatidylinositol-4-kinase type-III catalytic subunit alpha
GPK93_11g19910	pescadillo N-terminus domain-containing protein
GPK93_11g19920	kinesin-like protein
GPK93_11g19930	CTP synthase
GPK93_11g19940	hypothetical protein
GPK93_11g19950	hypothetical protein
GPK93_11g19960	BolA-like protein
GPK93_11g19970	polysaccharide deacetylase domain-containing protein
GPK93_11g19980	hypothetical protein
GPK93_11g19990	hypothetical protein
GPK93_11g20000	tryptohan-tRNA ligase
GPK93_11g20010	Hsp70-like protein
GPK93_11g20020	Arf1 GTPase-activating protein-like protein
GPK93_11g20030	cornichon protein
GPK93_11g20040	proteasome non-ATPase regulatory subunit 14
GPK93_11g20050	hypothetical protein
GPK93_11g20060	hypothetical protein
GPK93_11g20070	hypothetical protein
GPK93_11g20080	DNA-directed RNA polymerase I and III subunit AC19
GPK93_11g20090	putative ubiquitin carboxyl-terminal hydrolase 28
GPK93_11g20100	pre-mRNA cleavage and polyadenylation specificity factor
GPK93_11g20110	CDP-diacylglycerol--serine O-phosphatidyltransferase
GPK93_11g20120	hypothetical protein
GPK93_11g20130	like-Sm ribonucleoprotein
GPK93_11g20140	vesicle-associated membrane protein
GPK93_11g20150	hypothetical protein
GPK93_11g20160	ser/thr protein phosphatase PP-1A
GPK93_11g20170	translation initiation factor eIF2A
GPK93_11g20180	hypothetical protein
GPK93_11g20190	nucleotidyl transferase
GPK93_11g20200	hypothetical protein
GPK93_11g20210	hypothetical protein
GPK93_11g20220	ribosomal protein S10p/S20e
GPK93_11g20230	TATA-binding protein-associated phosphoprotein
GPK93_11g20240	hypothetical protein
GPK93_11g20250	pre-rRNA-processing protein PNO1
GPK93_11g20260	exonuclease 1
GPK93_11g20280	carbon catabolite repressor protein 4-like protein
GPK93_11g20290	ribosomal protein S7
GPK93_11g20300	protein transport protein SEC23
GPK93_11g20310	cell division control protein 21
GPK93_11g20320	ribosome biogenesis protein NSA2
GPK93_11g20330	DNA repair protein Rad51
GPK93_11g20340	transcription initiation factor TFIID subunit TAF10
GPK93_11g20350	AAA-like protein
GPK93_11g20360	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
GPK93_11g20370	putative pre-MRNA-splicing factor RNA helicase DHX16
GPK93_11g20390	ethanolamine-phosphate cytidylyltransferase
GPK93_11g20410	CTP synthase
GPK93_11g20420	methionine-tRNA ligase
GPK93_11g20430	hypothetical protein
GPK93_11g20440	Utp14 protein
GPK93_11g20450	GINs complex subunit 3
GPK93_11g20460	translation initiation factor 2 subunit alpha
GPK93_11g20470	hypothetical protein
GPK93_11g20480	box C/D snornp and U4 snrnp component SNU13P
GPK93_11g20490	hypothetical protein
GPK93_11g20500	cyclin-dependent protein kinase 9
GPK93_11g20510	Dcp1-like decapping protein
GPK93_11g20520	synaptobrevin-like protein
GPK93_11g20530	hypothetical protein
GPK93_11g20540	RING-type domain-containing protein
GPK93_11g20550	hypothetical protein
GPK93_11g20560	LsmAD domain-containing protein
GPK93_11g20570	vacuolar protein sorting-associated protein 4
GPK93_11g20580	hypothetical protein
GPK93_11g20590	nitrate transporter
GPK93_11g20600	hypothetical protein
GPK93_11g20610	hypothetical protein
GPK93_11g20620	putative 3-oxoacyl-(acyl-carrier-protein) reductase
GPK93_11g20630	superoxide dismutase
GPK93_11g20640	hypothetical protein
GPK93_11g20650	isoleucine-tRNA synthetase
GPK93_11g20660	hypothetical protein
GPK93_11g20670	elongation factor GTPase 2
GPK93_11g20680	hypothetical protein
GPK93_11g20690	ribosomal RNA-processing-like protein
GPK93_11g20700	Orm1-like membrane protein
GPK93_11g20710	anaphase-promoting complex subunit CUT9
GPK93_11g20720	U3 small nucleolar RNA-associated protein 15
GPK93_11g20730	hypothetical protein
GPK93_11g20740	phospholipase D alpha
GPK93_11g20750	nucleotide-binding protein
GPK93_11g20760	antigen peptide transporter 1
GPK93_11g20770	hypothetical protein
GPK93_11g20780	hypothetical protein
GPK93_11g20790	tRNA-5-methyluridine(54) 2-sulfurtransferase
GPK93_11g20800	hypothetical protein
GPK93_11g20810	hypothetical protein
GPK93_11g20820	transcription factor TFIID complex subunit 8
GPK93_11g20830	tRNA-Gly
GPK93_11g20840	DNA mismatch repair protein Mlh1
GPK93_11g20850	RuvB-like helicase 2
GPK93_11g20860	vacuolar ATP synthase catalytic subunit A
GPK93_11g20870	putative mitogen-activated protein kinase
GPK93_11g20880	hypothetical protein
GPK93_11g20890	NADPH adrenodoxin oxidoreductase-like protein
GPK93_11g20900	BET3-like protein
GPK93_11g20910	forkhead domain-containing protein
GPK93_11g20920	sterolin-1-like protein
GPK93_11g20930	eukaryotic translation initiation factor 4E
GPK93_11g20940	putative programmed cell death protein 5
GPK93_11g20950	CCR4-NOT transcription complex subunit-like protein
GPK93_11g20960	ribosomal protein L15
GPK93_11g20970	Fip1 domain-containing protein
GPK93_11g20980	DNA-directed RNA polymerase subunit
GPK93_11g20990	hypothetical protein
GPK93_11g21000	AAA domain-containing protein
GPK93_11g21010	hypothetical protein
GPK93_11g21020	diphthine synthase
GPK93_11g21030	hypothetical protein
GPK93_11g21040	hypothetical protein
GPK93_11g21050	translation elongation factor 2
GPK93_11g21060	histone H2A type 1-D
GPK93_11g21070	PC4 and SFRS1 interacting protein-like protein
GPK93_11g21080	DUF382 domain-containing protein
GPK93_11g21090	death-associated protein kinase 1
GPK93_11g21100	cation diffusion facilitator family transporter
GPK93_11g21110	tRNA (guanine-N(7)-)-methyltransferase
GPK93_11g21120	DNA polymerase III beta subunit-like protein
GPK93_11g21130	hexokinase
GPK93_11g21140	apurinic endonuclease
GPK93_11g21150	syntaxin-1A
GPK93_11g21160	CHY zinc finger domain-containing protein
GPK93_11g21170	translation initiation factor RLI1
GPK93_11g21180	Sun domain-containing protein 1
GPK93_11g21190	D-xylose transporter
GPK93_11g21200	tRNA pseudouridine synthase A
GPK93_11g21210	ribosomal protein S19
GPK93_11g21220	hypothetical protein
GPK93_11g21230	phosphate transport protein
GPK93_11g21240	eukaryotic translation initiation factor 1
GPK93_11g21250	RRM-CNOT4 domain-containing protein
GPK93_11g21260	proteasome subunit alpha type-1
GPK93_11g21270	PC4 and SFRS1-interacting protein-like protein
GPK93_11g21280	SANT/Myb-like domain-containing protein
GPK93_11g21290	Rab GTPase-activating protein 1
GPK93_11g21300	tetraspanin-like protein
GPK93_11g21310	hypothetical protein
GPK93_11g21320	hypothetical protein
GPK93_11g21340	Puf RNA-binding protein
GPK93_11g21350	MJ0609-like membrane protein
GPK93_11g21360	transcription initiation factor TFIID subunit TAF5
GPK93_11g21370	hypothetical protein
GPK93_11g21380	importin subunit alpha
GPK93_11g21390	cysteine desulfurase
GPK93_11g21400	UDP-N-acetylglucosamine pyrophosphorylase
GPK93_11g21410	Man1-Src1p-C-terminal domain-containing protein
GPK93_11g21420	hypothetical protein
GPK93_11g21430	farnesyl pyrophosphate synthetase
GPK93_11g21440	hypothetical protein
GPK93_11g21450	Hsp protein
GPK93_11g21460	hypothetical protein
GPK93_11g21470	hypothetical protein
GPK93_11g21480	hypothetical protein
GPK93_11g21490	lactose-proton symport
GPK93_11g21500	lactose-proton symport
GPK93_11g21510	hypothetical protein
GPK93_11g21520	hypothetical protein
GPK93_11g21530	U3 small nucleolar ribonucleoprotein
GPK93_11g21540	endoplasmic reticulum membrane protein
GPK93_11g21550	transcription elongation factor Spt5
GPK93_11g21560	hypothetical protein
GPK93_11g21570	U3 small nucleolar ribonucleoprotein
GPK93_11g21580	septin-like protein
GPK93_11g21590	proteasome NON-ATPase subunit 7
GPK93_11g21600	WD40 domain-containing protein
GPK93_11g21610	casein kinase I-like protein
GPK93_11g21620	ubiquitin conjugating enzyme E2
GPK93_11g21630	chromosome segregation ATPase
GPK93_11g21640	hypothetical protein
GPK93_11g21650	kinesin-like protein
GPK93_11g21660	Ste12 transcription factor
GPK93_11g21670	hypothetical protein
GPK93_11g21680	nonsense transcripts 2-like protein
GPK93_11g21690	putative exosome complex exonuclease 2
GPK93_11g21700	hypothetical protein
GPK93_11g21710	hypothetical protein
GPK93_11g21720	ribosomal protein L29
GPK93_11g21730	SMX4-like protein
GPK93_11g21740	Maf1 regulator protein
GPK93_11g21750	hypothetical protein
GPK93_11g21760	DUF2463 domain-containing protein
GPK93_11g21770	hypothetical protein
GPK93_11g21780	DUF1609 domain-containing protein
GPK93_11g21790	DUF2463 domain-protein
GPK93_11g21800	hypothetical protein
GPK93_11g21810	small subunit ribosomal RNA
GPK93_11g21820	large subunit ribosomal RNA
