AEWD_010010	serine hydroxymethyltransferase
CWI38_0963p0020	hypothetical protein
CWI38_0964p0010	hypothetical protein
CWI38_0964p0020	hypothetical protein
CWI38_0964p0030	hypothetical protein
CWI38_0964p0040	hypothetical protein
CWI38_0964p0050	hypothetical protein
CWI38_0965p0010	hypothetical protein
CWI38_0965p0020	hypothetical protein
CWI38_0965p0030	DDE-like endonuclease
CWI38_0965p0040	hypothetical protein
CWI38_0966p0010	hypothetical protein
CWI38_0966p0020	hypothetical protein
CWI38_0967p0010	short chain dehydrogenase
CWI38_0967p0020	hypothetical protein
CWI38_0967p0030	ribosomal protein S13
CWI38_0967p0040	hypothetical protein
CWI38_0967p0050	putative RNA-binding protein
CWI38_0967p0060	hypothetical protein
CWI38_0968p0010	hypothetical protein
CWI38_0969p0010	hypothetical protein
CWI38_0969p0020	hypothetical protein
CWI38_0970p0010	hypothetical protein
CWI38_0970p0020	AMP deaminase
CWI38_0970p0030	CHY zinc finger domain-containing protein
CWI38_0971p0010	hypothetical protein
CWI38_0972p0010	putative histone acetylation protein
CWI38_0972p0020	XPGI-like DNA repair protein
CWI38_0973p0010	hypothetical protein
CWI38_0973p0020	lysophospholipid acyltransferase
CWI38_0974p0010	hypothetical protein
CWI38_0974p0020	hypothetical protein
CWI38_0975p0010	hypothetical protein
CWI38_0975p0020	hypothetical protein
CWI38_0976p0010	STE-like transcription factor
CWI38_0976p0020	kinesin-like protein
CWI38_0977p0010	hypothetical protein
CWI38_0978p0010	pre-mRNA-processing ATP-dependent RNA helicase Prp5
CWI38_0978p0020	hypothetical protein
CWI38_0979p0010	hypothetical protein
CWI38_0979p0020	putative pyrimidine 5'-nucleotidase
CWI38_0980p0010	deoxyhypusine hydroxylase
CWI38_0980p0020	hypothetical protein
CWI38_0980p0030	hypothetical protein
CWI38_0981p0010	DNA polymerase kappa
CWI38_0981p0020	hypothetical protein
CWI38_0982p0010	hypothetical protein
CWI38_0983p0010	reverse transcriptase
CWI38_0984p0010	DUF3449 domain-containing protein
CWI38_0984p0020	hypothetical protein
CWI38_0984p0030	hypothetical protein
CWI38_0985p0010	hypothetical protein
CWI38_0985p0020	subunit beta of translation initiation factor 2
CWI38_0985p0030	hypothetical protein
CWI38_0986p0010	hypothetical protein
CWI38_0987p0010	hypothetical protein
CWI38_0988p0010	ribosomal protein S24
CWI38_0988p0020	putative RCC1-like regulator of chromosome condensation protein
CWI38_0989p0010	SBDS domain-containing protein
CWI38_0989p0020	DEAD/DEAH box helicase
CWI38_0989p0030	hypothetical protein
CWI38_0990p0010	structural maintenance of chromosomes protein
CWI38_0990p0020	hypothetical protein
CWI38_0991p0010	hypothetical protein
CWI38_0991p0020	reverse transcriptase
CWI38_0992p0010	arginine--tRNA ligase
CWI38_0992p0020	hypothetical protein
CWI38_0993p0010	hypothetical protein
CWI38_0993p0020	hypothetical protein
CWI38_0993p0030	hypothetical protein
CWI38_0994p0010	hypothetical protein
CWI38_0994p0020	ubiquitin-binding protein
CWI38_0994p0030	hypothetical protein
CWI38_0995p0010	subunit 2 of condensin complex
CWI38_0995p0020	hypothetical protein
CWI38_0995p0030	putative HIT-like bis(5'-adenosyl)-triphosphatase
CWI38_0996p0010	hypothetical protein
CWI38_0996p0020	hypothetical protein
CWI38_0996p0030	hypothetical protein
CWI38_0997p0010	hypothetical protein
CWI38_0997p0020	DUF5101 domain-containing protein
CWI38_0997p0030	hypothetical protein
CWI38_0997p0040	hypothetical protein
CWI38_0998p0010	hypothetical protein
CWI38_0998p0020	protein prenyltransferase
CWI38_0998p0030	hypothetical protein
CWI38_1000p0010	hypothetical protein
CWI38_1001p0010	hypothetical protein
CWI38_1001p0020	reverse transcriptase
CWI38_1002p0010	hypothetical protein
CWI38_1004p0010	hypothetical protein
CWI38_1004p0020	hypothetical protein
CWI38_1004p0030	protein kinase
CWI38_1004p0040	glyceraldehyde-3-phosphate dehydrogenase
CWI38_1005p0010	hypothetical protein
CWI38_1005p0020	hypothetical protein
CWI38_1006p0010	3-hydroxy-3-methylglutaryl CoA synthase
CWI38_1006p0020	phosphoglycerate mutase
CWI38_1007p0010	hypothetical protein
CWI38_1007p0020	thioredoxin peroxidase
CWI38_1007p0030	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
CWI38_1007p0040	serine/threonine-protein kinase Rio1
CWI38_1008p0010	hypothetical protein
CWI38_1008p0020	hypothetical protein
CWI38_1008p0030	hypothetical protein
CWI38_1008p0040	hypothetical protein
CWI38_1009p0010	hypothetical protein
CWI38_1011p0010	hypothetical protein
CWI38_1011p0020	hypothetical protein
CWI38_1012p0010	hypothetical protein
CWI38_1012p0020	PelA-like RNA-binding protein
CWI38_1012p0030	adenosine kinase
CWI38_1013p0010	hypothetical protein
CWI38_1013p0020	ribosomal protein L24
CWI38_1013p0030	hypothetical protein
CWI38_1013p0040	transmembrane amino acid transporter
CWI38_1014p0010	ubiquitin-conjugating enzyme E2
CWI38_1015p0010	hypothetical protein
CWI38_1016p0010	DEAD/DEAH box helicase
CWI38_1016p0020	hypothetical protein
CWI38_1016p0030	hypothetical protein
CWI38_1017p0010	hypothetical protein
CWI38_1018p0010	hypothetical protein
CWI38_1018p0020	hypothetical protein
CWI38_1018p0030	hypothetical protein
CWI38_1019p0010	hypothetical protein
CWI38_1019p0020	hypothetical protein
CWI38_1020p0010	hypothetical protein
CWI38_1020p0020	hypothetical protein
CWI38_1020p0030	hypothetical protein
CWI38_1021p0010	hypothetical protein
CWI38_1022p0010	hypothetical protein
CWI38_1023p0010	hypothetical protein
CWI38_1024p0010	hypothetical protein
CWI38_1025p0010	CAMK/CAMKL/CHK1 protein kinase
CWI38_1025p0020	hypothetical protein
CWI38_1026p0010	hypothetical protein
CWI38_1026p0020	ABC transporter
CWI38_1026p0030	hypothetical protein
CWI38_1026p0040	calcineurin-like phosphoesterase
CWI38_1027p0010	hypothetical protein
CWI38_1027p0020	elongator complex protein 3
CWI38_1028p0010	hypothetical protein
CWI38_1028p0020	hypothetical protein
CWI38_1028p0030	hypothetical protein
CWI38_1029p0010	hypothetical protein
CWI38_1029p0020	hypothetical protein
CWI38_1030p0010	hypothetical protein
CWI38_1030p0020	hypothetical protein
CWI38_1030p0030	hypothetical protein
CWI38_1030p0040	hypothetical protein
CWI38_1030p0050	subunit Rpa12 of DNA-directed RNA polymerase I
CWI38_1031p0010	hypothetical protein
CWI38_1031p0020	subunit Rpn10 of 26S proteasome
CWI38_1031p0030	hypothetical protein
CWI38_1031p0040	ATP-dependent helicase
CWI38_1032p0010	homeobox domain-containing protein
CWI38_1032p0020	dephospho-CoA kinase
CWI38_1032p0030	hypothetical protein
CWI38_1033p0010	ribosomal protein L10
CWI38_1033p0020	hypothetical protein
CWI38_1034p0010	hypothetical protein
CWI38_1034p0020	hypothetical protein
CWI38_1034p0030	hypothetical protein
CWI38_1034p0040	CDC7-like protein kinase
CWI38_1035p0010	hypothetical protein
CWI38_1035p0020	hypothetical protein
CWI38_1036p0010	ABC transporter
CWI38_1037p0010	hypothetical protein
CWI38_1038p0010	hypothetical protein
CWI38_1038p0020	Sad1/UNC-like domain-containing protein
CWI38_1038p0030	regulatory subunit of protein phosphatase 1
CWI38_1039p0010	hypothetical protein
CWI38_1039p0020	hypothetical protein
CWI38_1039p0030	putative PX domain-containing protein
CWI38_1039p0040	hypothetical protein
CWI38_1040p0010	integrase domain-containing protein
CWI38_1040p0020	hypothetical protein
CWI38_1040p0030	hypothetical protein
CWI38_1040p0040	hypothetical protein
CWI38_1041p0010	hypothetical protein
CWI38_1041p0020	putative chromatin assembly factor
CWI38_1041p0030	hypothetical protein
CWI38_1041p0040	hypothetical protein
CWI38_1042p0010	hypothetical protein
CWI38_1042p0020	hypothetical protein
CWI38_1043p0010	hypothetical protein
CWI38_1043p0020	hypothetical protein
CWI38_1043p0030	exonuclease
CWI38_1043p0040	ADP-ribosylation factor
CWI38_1045p0010	hypothetical protein
CWI38_1045p0020	hypothetical protein
CWI38_1046p0010	hypothetical protein
CWI38_1047p0010	hypothetical protein
CWI38_1048p0010	hypothetical protein
CWI38_1048p0020	hypothetical protein
CWI38_1049p0010	hypothetical protein
CWI38_1049p0020	hypothetical protein
CWI38_1049p0030	cysteine desulfurase
CWI38_1050p0010	hypothetical protein
CWI38_1050p0020	putative IKI3 IkappaB kinase complex protein
CWI38_1051p0010	reverse transcriptase
CWI38_1051p0020	hypothetical protein
CWI38_1051p0030	putative phosphatase
CWI38_1051p0040	subunit of RNA polymerase
CWI38_1052p0010	hypothetical protein
CWI38_1052p0020	hypothetical protein
CWI38_1053p0010	hypothetical protein
CWI38_1053p0020	hypothetical protein
CWI38_1053p0030	hypothetical protein
CWI38_1054p0010	hypothetical protein
CWI38_1055p0010	hypothetical protein
CWI38_1055p0020	hypothetical protein
CWI38_1055p0030	hypothetical protein
CWI38_1055p0040	methionine--tRNA ligase
CWI38_1056p0010	hypothetical protein
CWI38_1056p0020	hypothetical protein
CWI38_1057p0010	hypothetical protein
CWI38_1058p0010	hypothetical protein
CWI38_1059p0010	hypothetical protein
CWI38_1059p0020	glutathione peroxidase
CWI38_1060p0010	subunit epsilon of T-complex protein 1
CWI38_1060p0020	hypothetical protein
CWI38_1061p0010	hypothetical protein
CWI38_1061p0020	subunit C of V-type proton ATPase
CWI38_1061p0030	RNA helicase HrpA
CWI38_1062p0010	Hsp90-like protein
CWI38_1062p0020	short chain dehydrogenase
CWI38_1062p0030	hypothetical protein
CWI38_1063p0010	UPF0160 domain-containing protein
CWI38_1063p0020	hypothetical protein
CWI38_1063p0030	hypothetical protein
CWI38_1063p0040	hypothetical protein
CWI38_1063p0050	hypothetical protein
CWI38_1063p0060	hypothetical protein
CWI38_1064p0010	hypothetical protein
CWI38_1065p0010	hypothetical protein
CWI38_1065p0020	ZPR1 zinc-finger domain-containing protein
CWI38_1065p0030	Na(+)/H(+) antiporter
CWI38_1066p0010	hypothetical protein
CWI38_1066p0020	phosphatidylserine synthase
CWI38_1067p0010	hypothetical protein
CWI38_1068p0010	hypothetical protein
CWI38_1068p0020	hypothetical protein
CWI38_1069p0010	homeobox domain-containing protein
CWI38_1070p0010	hypothetical protein
CWI38_1070p0020	hypothetical protein
CWI38_1071p0010	hypothetical protein
CWI38_1071p0020	hypothetical protein
CWI38_1071p0030	hypothetical protein
CWI38_1072p0010	hypothetical protein
CWI38_1072p0020	mitosis protein Dim1
CWI38_1072p0030	hypothetical protein
CWI38_1073p0010	hypothetical protein
CWI38_1073p0020	hypothetical protein
CWI38_1074p0010	hypothetical protein
CWI38_1074p0020	hypothetical protein
CWI38_1074p0030	hypothetical protein
CWI38_1075p0010	RhoGAP domain-containing protein
CWI38_1075p0020	hypothetical protein
CWI38_1075p0030	putative M48 peptidase
CWI38_1076p0010	subunit Rpn10 of 26S proteasome
CWI38_1076p0020	hypothetical protein
CWI38_1076p0030	ATP-dependent helicase
CWI38_1077p0010	Spc97/Spc98 spindle pole body-like protein
CWI38_1077p0020	hypothetical protein
CWI38_1078p0010	C1-like protein kinase
CWI38_1078p0020	DnaJ domain-containing protein
CWI38_1078p0030	hypothetical protein
CWI38_1079p0010	subunit of proteasome
CWI38_1080p0010	hypothetical protein
CWI38_1081p0010	hypothetical protein
CWI38_1081p0020	Ring finger domain-containing protein
CWI38_1081p0030	tRNA (guanine(37)-N1)-methyltransferase
CWI38_1081p0040	hypothetical protein
CWI38_1082p0010	ribosomal protein L30
CWI38_1082p0020	putative subunit A of transcription initiation factor TFIID
CWI38_1082p0030	hypothetical protein
CWI38_1084p0010	hypothetical protein
CWI38_1085p0010	hypothetical protein
CWI38_1085p0020	Tub-like protein
CWI38_1086p0010	hypothetical protein
CWI38_1086p0020	hypothetical protein
CWI38_1087p0010	hypothetical protein
CWI38_1087p0020	cysteine--tRNA ligase
CWI38_1088p0010	hypothetical protein
CWI38_1088p0020	hypothetical protein
CWI38_1088p0030	hypothetical protein
CWI38_1089p0010	ubiquitin fusion-degradation protein
CWI38_1089p0020	hypothetical protein
CWI38_1089p0030	catalytic subunit A of DNA polymerase epsilon
CWI38_1090p0010	hypothetical protein
CWI38_1091p0010	hypothetical protein
CWI38_1091p0020	ribonucleoside-diphosphate reductase
CWI38_1092p0010	hypothetical protein
CWI38_1092p0020	hypothetical protein
CWI38_1093p0010	FtsJ-like methyltransferase
CWI38_1094p0010	putative endonuclease
CWI38_1094p0020	hypothetical protein
CWI38_1095p0010	hypothetical protein
CWI38_1095p0020	hypothetical protein
CWI38_1096p0010	hypothetical protein
CWI38_1096p0020	hypothetical protein
CWI38_1096p0030	protein kinase
CWI38_1097p0010	hypothetical protein
CWI38_1098p0010	hypothetical protein
CWI38_1098p0020	hypothetical protein
CWI38_1098p0030	hypothetical protein
CWI38_1099p0010	protein kinase
CWI38_1099p0020	putative nucleic acid-binding protein
CWI38_1099p0030	hypothetical protein
CWI38_1100p0010	HemK methyltransferase
CWI38_1100p0020	hypothetical protein
CWI38_1101p0010	glycerol-3-phosphate dehydrogenase
CWI38_1101p0020	AAA domain-containing protein
CWI38_1101p0030	hypothetical protein
CWI38_1102p0010	hypothetical protein
CWI38_1102p0020	hypothetical protein
CWI38_1103p0010	ribosomal protein S8e
CWI38_1103p0020	hypothetical protein
CWI38_1103p0030	UTP--glucose-1-phosphate uridylyltransferase
CWI38_1103p0040	hypothetical protein
CWI38_1104p0010	hypothetical protein
CWI38_1105p0010	hypothetical protein
CWI38_1106p0020	hypothetical protein
CWI38_1107p0010	hypothetical protein
CWI38_1107p0020	rRNA methyltransferase
CWI38_1107p0030	Aurora protein kinase
CWI38_1107p0040	La domain-containing protein
CWI38_1107p0050	putative DDE-like endonuclease
CWI38_1108p0010	hypothetical protein
CWI38_1109p0010	hypothetical protein
CWI38_1109p0020	hypothetical protein
CWI38_1110p0010	hypothetical protein
CWI38_1110p0020	ubiquitin-conjugating enzyme
CWI38_1110p0030	hypothetical protein
CWI38_1110p0040	hypothetical protein
CWI38_1111p0010	hypothetical protein
CWI38_1112p0010	hypothetical protein
CWI38_1112p0020	hypothetical protein
CWI38_1113p0010	YjeF domain-containing protein
CWI38_1113p0020	hypothetical protein
CWI38_1113p0030	putative Erv26-like transmembrane adaptor protein
CWI38_1114p0010	hypothetical protein
CWI38_1114p0020	hypothetical protein
CWI38_1114p0030	syntaxin
CWI38_1114p0040	hypothetical protein
CWI38_1115p0010	putative nucleolar complex protein
CWI38_1116p0010	hypothetical protein
CWI38_1117p0010	hypothetical protein
CWI38_1118p0010	hypothetical protein
CWI38_1119p0010	hypothetical protein
CWI38_1119p0020	hypothetical protein
CWI38_1119p0030	poly(A) polymerase
CWI38_1119p0040	hypothetical protein
CWI38_1120p0010	hypothetical protein
CWI38_1120p0020	hypothetical protein
CWI38_1121p0010	hypothetical protein
CWI38_1121p0020	putative subunit beta of AP-4 vesicle coat complex
CWI38_1121p0030	hypothetical protein
CWI38_1122p0010	hypothetical protein
CWI38_1122p0020	hypothetical protein
CWI38_1122p0030	hypothetical protein
CWI38_1123p0010	hypothetical protein
CWI38_1123p0020	tRNA/rRNA cytosine-C5-methylase
CWI38_1123p0030	hypothetical protein
CWI38_1124p0010	hypothetical protein
CWI38_1125p0010	peptidyl-prolyl cis-trans isomerase
CWI38_1125p0020	hypothetical protein
CWI38_1125p0030	hypothetical protein
CWI38_1125p0040	ER lumen protein-retaining receptor
CWI38_1125p0050	hypothetical protein
CWI38_1126p0010	hypothetical protein
CWI38_1126p0020	ribosomal protein L23
CWI38_1127p0010	hypothetical protein
CWI38_1128p0010	hypothetical protein
CWI38_1128p0020	putative U3 small nucleolar RNA-associated protein
CWI38_1129p0010	hypothetical protein
CWI38_1129p0020	DDE-like endonuclease
CWI38_1129p0030	hypothetical protein
CWI38_1130p0010	hypothetical protein
CWI38_1130p0020	DNA excision repair protein ERCC-1
CWI38_1130p0030	ribosomal protein L5
CWI38_1131p0010	hypothetical protein
CWI38_1131p0020	hypothetical protein
CWI38_1131p0030	DUF5092 domain-containing protein
CWI38_1132p0010	subunit SecY of preprotein translocase
CWI38_1132p0020	hypothetical protein
CWI38_1132p0030	hypothetical protein
CWI38_1132p0040	hypothetical protein
CWI38_1133p0010	hypothetical protein
CWI38_1133p0020	hypothetical protein
CWI38_1133p0030	hypothetical protein
CWI38_1134p0010	putative RBBP4-like histone-binding protein
CWI38_1134p0020	hypothetical protein
CWI38_1135p0010	Ercc4-like endonuclease
CWI38_1135p0020	hypothetical protein
CWI38_1136p0010	hypothetical protein
CWI38_1137p0010	hypothetical protein
CWI38_1139p0010	hypothetical protein
CWI38_1139p0020	hypothetical protein
CWI38_1140p0010	hypothetical protein
CWI38_1140p0020	hypothetical protein
CWI38_1141p0010	hypothetical protein
CWI38_1142p0010	hypothetical protein
CWI38_1143p0010	hypothetical protein
CWI38_1143p0020	putative ubiquitin carboxyl-terminal hydrolase
CWI38_1143p0030	hypothetical protein
CWI38_1144p0010	ABC transporter
CWI38_1145p0010	HIT domain-containing protein
CWI38_1146p0010	hypothetical protein
CWI38_1146p0020	hypothetical protein
CWI38_1146p0030	hypothetical protein
CWI38_1147p0010	putative AN1-like zinc finger domain-containing protein
CWI38_1147p0020	hypothetical protein
CWI38_1148p0010	WD40 domain-containing protein
CWI38_1148p0020	hypothetical protein
CWI38_1149p0010	hypothetical protein
CWI38_1149p0020	hypothetical protein
CWI38_1150p0010	hypothetical protein
CWI38_1150p0020	hypothetical protein
CWI38_1150p0030	hypothetical protein
CWI38_1151p0010	hypothetical protein
CWI38_1151p0020	peptidyl-prolyl cis-trans isomerase
CWI38_1151p0030	hypothetical protein
CWI38_1152p0010	hypothetical protein
CWI38_1152p0020	alpha-actinin-like protein
CWI38_1152p0030	phospholipase/carboxylesterase
CWI38_1153p0010	HECT domain-containing ubiquitin-transferase
CWI38_1154p0010	signal peptidase
CWI38_1154p0020	hypothetical protein
CWI38_1156p0010	protein transport protein Yip1
CWI38_1156p0020	hypothetical protein
CWI38_1156p0030	hypothetical protein
CWI38_1157p0010	hypothetical protein
CWI38_1157p0020	hypothetical protein
CWI38_1158p0010	putative Elf1-like transcription elongation factor
CWI38_1158p0020	ZIP-like zinc transporter
CWI38_1159p0010	hypothetical protein
CWI38_1160p0010	hypothetical protein
CWI38_1161p0010	hypothetical protein
CWI38_1162p0010	hypothetical protein
CWI38_1162p0020	hypothetical protein
CWI38_1163p0010	hypothetical protein
CWI38_1163p0020	hypothetical protein
CWI38_1164p0010	hypothetical protein
CWI38_1164p0020	hypothetical protein
CWI38_1164p0030	hypothetical protein
CWI38_1166p0010	hypothetical protein
CWI38_1166p0020	hypothetical protein
CWI38_1166p0030	subunit G of chromosome condensation condensin complex
CWI38_1167p0010	hypothetical protein
CWI38_1168p0010	hypothetical protein
CWI38_1169p0010	hypothetical protein
CWI38_1170p0010	protein phosphatase 2C
CWI38_1170p0020	hypothetical protein
CWI38_1171p0010	heat shock protein 90
CWI38_1171p0020	hypothetical protein
CWI38_1172p0010	hypothetical protein
CWI38_1172p0020	hypothetical protein
CWI38_1172p0030	DnaJ-class molecular chaperone
CWI38_1172p0040	putative RBBP4-like histone-binding protein
CWI38_1173p0010	hypothetical protein
CWI38_1174p0010	subunit zeta of T-complex protein 1
CWI38_1174p0020	hypothetical protein
CWI38_1175p0010	putative sporulation protein Rmd1
CWI38_1177p0010	hypothetical protein
CWI38_1177p0020	putative mechanosensitive ion channel protein
CWI38_1178p0010	hypothetical protein
CWI38_1179p0010	hypothetical protein
CWI38_1180p0010	hypothetical protein
CWI38_1181p0010	putative RNA binding protein
CWI38_1181p0020	hypothetical protein
CWI38_1181p0030	DDE-like endonuclease
CWI38_1182p0010	hypothetical protein
CWI38_1182p0020	RhoGAP domain-containing protein
CWI38_1183p0010	hypothetical protein
CWI38_1184p0010	hypothetical protein
CWI38_1184p0020	hypothetical protein
CWI38_1185p0010	protein kinase domain-containing protein
CWI38_1186p0010	STE-like transcription factor
CWI38_1186p0020	hypothetical protein
CWI38_1186p0030	hypothetical protein
CWI38_1186p0040	glycosyltransferase
CWI38_1187p0010	hypothetical protein
CWI38_1187p0020	hypothetical protein
CWI38_1187p0030	chromosome segregation ATPase
CWI38_1188p0010	hypothetical protein
CWI38_1188p0020	hypothetical protein
CWI38_1189p0010	hypothetical protein
CWI38_1189p0020	hypothetical protein
CWI38_1190p0010	Rcd1-like cell differentiation protein
CWI38_1190p0020	hypothetical protein
CWI38_1191p0010	hypothetical protein
CWI38_1191p0020	hypothetical protein
CWI38_1191p0030	CNH domain-containing protein
CWI38_1192p0010	hypothetical protein
CWI38_1193p0010	DNA replication licensing factor Mcm8
CWI38_1193p0020	reverse transcriptase
CWI38_1194p0010	hypothetical protein
CWI38_1195p0010	hypothetical protein
CWI38_1195p0020	hypothetical protein
CWI38_1195p0030	hypothetical protein
CWI38_1196p0010	hypothetical protein
CWI38_1196p0020	ATP-dependent DNA helicase
CWI38_1197p0010	hypothetical protein
CWI38_1197p0020	hypothetical protein
CWI38_1198p0010	hypothetical protein
CWI38_1198p0020	hypothetical protein
CWI38_1199p0010	hypothetical protein
CWI38_1199p0020	hypothetical protein
CWI38_1200p0010	hypothetical protein
CWI38_1200p0020	Mad3/BUB1 domain-containing protein
CWI38_1201p0010	hypothetical protein
CWI38_1201p0020	hypothetical protein
CWI38_1202p0010	hypothetical protein
CWI38_1202p0020	hypothetical protein
CWI38_1203p0010	hypothetical protein
CWI38_1203p0020	hypothetical protein
CWI38_1203p0030	hypothetical protein
CWI38_1204p0010	hypothetical protein
CWI38_1204p0020	hypothetical protein
CWI38_1205p0010	hypothetical protein
CWI38_1206p0010	putative pyrimidine 5'-nucleotidase
CWI38_1206p0020	hypothetical protein
CWI38_1207p0010	hypothetical protein
CWI38_1207p0020	signal recognition particle GTPase Srp54
CWI38_1207p0030	hypothetical protein
CWI38_1208p0010	subunit of FACT complex
CWI38_1208p0020	hypothetical protein
CWI38_1210p0010	hypothetical protein
CWI38_1211p0010	DNA replication licensing factor Mcm6
CWI38_1211p0020	hypothetical protein
CWI38_1211p0030	hypothetical protein
CWI38_1212p0010	hypothetical protein
CWI38_1213p0010	subunit alpha of translation initiation factor 2
CWI38_1213p0020	hypothetical protein
CWI38_1214p0010	hypothetical protein
CWI38_1214p0020	protein kinase domain-containing protein
CWI38_1214p0030	hypothetical protein
CWI38_1215p0010	hypothetical protein
CWI38_1216p0010	hypothetical protein
CWI38_1217p0010	hypothetical protein
CWI38_1217p0020	subunit of proteasome
CWI38_1217p0030	hypothetical protein
CWI38_1218p0010	putative protein kinase
CWI38_1218p0020	hypothetical protein
CWI38_1218p0030	hypothetical protein
CWI38_1219p0010	hypothetical protein
CWI38_1220p0010	hypothetical protein
CWI38_1221p0010	hypothetical protein
CWI38_1222p0010	hypothetical protein
CWI38_1222p0020	hypothetical protein
CWI38_1222p0030	hypothetical protein
CWI38_1223p0010	hypothetical protein
CWI38_1223p0020	hypothetical protein
CWI38_1223p0030	putative kinetochore protein Nuf2
CWI38_1224p0010	hypothetical protein
CWI38_1225p0010	hypothetical protein
CWI38_1225p0020	hypothetical protein
CWI38_1226p0010	hypothetical protein
CWI38_1226p0020	hypothetical protein
CWI38_1227p0010	hypothetical protein
CWI38_1227p0020	hypothetical protein
CWI38_1227p0030	hypothetical protein
CWI38_1228p0010	hypothetical protein
CWI38_1228p0020	hypothetical protein
CWI38_1229p0010	hypothetical protein
CWI38_1230p0010	hypothetical protein
CWI38_1230p0020	Ring finger domain-containing protein
CWI38_1231p0010	hypothetical protein
CWI38_1232p0010	hypothetical protein
CWI38_1233p0010	protein kinase
CWI38_1234p0010	RNA pseudouridylate synthase
CWI38_1234p0020	hypothetical protein
CWI38_1235p0010	translation initiation factor 2A
CWI38_1235p0020	ATP-dependent DNA helicase
CWI38_1236p0010	hypothetical protein
CWI38_1237p0010	hypothetical protein
CWI38_1238p0010	hypothetical protein
CWI38_1238p0020	hypothetical protein
CWI38_1238p0030	hypothetical protein
CWI38_1239p0010	hypothetical protein
CWI38_1239p0020	hypothetical protein
CWI38_1239p0030	ORM1-like protein
CWI38_1239p0040	DUF5097 domain-containing protein
CWI38_1240p0010	hypothetical protein
CWI38_1240p0020	hypothetical protein
CWI38_1242p0010	PIF1-like helicase
CWI38_1243p0010	hypothetical protein
CWI38_1243p0020	hypothetical protein
CWI38_1243p0030	hypothetical protein
CWI38_1244p0010	protein transport protein Yif1
CWI38_1244p0020	vacuolar import and degradation protein 27
CWI38_1245p0010	putative protein kinase
CWI38_1245p0020	hypothetical protein
CWI38_1246p0010	hypothetical protein
CWI38_1246p0020	hypothetical protein
CWI38_1246p0030	putative protein kinase
CWI38_1247p0010	hypothetical protein
CWI38_1247p0020	glutathione synthetase
CWI38_1248p0010	reverse transcriptase
CWI38_1248p0020	hypothetical protein
CWI38_1249p0010	hypothetical protein
CWI38_1250p0010	hypothetical protein
CWI38_1251p0010	cysteine--tRNA ligase
CWI38_1251p0020	hypothetical protein
CWI38_1252p0010	hypothetical protein
CWI38_1253p0010	hypothetical protein
CWI38_1253p0020	putative adenylate cyclase
CWI38_1253p0030	hypothetical protein
CWI38_1254p0010	subunit beta of coatomer complex
CWI38_1254p0020	subunit beta of transcription initiation factor IIF
CWI38_1255p0010	hypothetical protein
CWI38_1255p0020	hypothetical protein
CWI38_1256p0010	hypothetical protein
CWI38_1256p0020	hypothetical protein
CWI38_1257p0010	reverse transcriptase
CWI38_1258p0010	reverse transcriptase
CWI38_1258p0020	Rer1-like Golgi ER retention protein
CWI38_1259p0010	hypothetical protein
CWI38_1259p0020	subunit p30 of RNase P
CWI38_1259p0030	subunit alpha of mRNA-capping enzyme
CWI38_1259p0040	subunit alpha of sodium/potassium-transporting ATPase
CWI38_1260p0010	hypothetical protein
CWI38_1260p0020	hypothetical protein
CWI38_1261p0010	hypothetical protein
CWI38_1261p0020	hypothetical protein
CWI38_1262p0010	hypothetical protein
CWI38_1262p0020	ribonucleoside-diphosphate reductase
CWI38_1263p0010	hypothetical protein
CWI38_1263p0020	putative MutL-like DNA mismatch repair protein
CWI38_1263p0030	putative scavenger mRNA decapping enzyme
CWI38_1263p0040	hypothetical protein
CWI38_1264p0010	hypothetical protein
CWI38_1265p0010	reverse transcriptase
CWI38_1266p0010	hypothetical protein
CWI38_1266p0020	hypothetical protein
CWI38_1267p0010	hypothetical protein
CWI38_1267p0020	hypothetical protein
CWI38_1268p0010	hypothetical protein
CWI38_1268p0020	hypothetical protein
CWI38_1269p0010	hypothetical protein
CWI38_1269p0020	ribonuclease
CWI38_1269p0030	deoxyhypusine synthase
CWI38_1269p0040	hypothetical protein
CWI38_1270p0010	protein kinase
CWI38_1270p0020	ATP-dependent helicase
CWI38_1271p0010	ribosome biogenesis protein Bms1
CWI38_1272p0010	hypothetical protein
CWI38_1273p0010	hypothetical protein
CWI38_1273p0020	hypothetical protein
CWI38_1273p0030	hypothetical protein
CWI38_1274p0010	SGS domain-containing protein
CWI38_1274p0020	hypothetical protein
CWI38_1275p0010	hypothetical protein
CWI38_1275p0020	hypothetical protein
CWI38_1276p0010	hypothetical protein
CWI38_1276p0020	hypothetical protein
CWI38_1276p0030	putative POP1-like ribonuclease
CWI38_1276p0040	DNA mismatch repair protein Mlh1
CWI38_1277p0010	subunit Rpb1 of DNA-directed RNA polymerase
CWI38_1277p0020	hypothetical protein
CWI38_1278p0010	hypothetical protein
CWI38_1279p0010	hypothetical protein
CWI38_1279p0020	hypothetical protein
CWI38_1280p0010	hypothetical protein
CWI38_1280p0020	hypothetical protein
CWI38_1280p0030	hypothetical protein
CWI38_1280p0040	peptidyl-tRNA hydrolase
CWI38_1281p0010	kinesin motor domain-containing protein
CWI38_1281p0020	small Rho-like GTP-binding protein
CWI38_1281p0030	hypothetical protein
