
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01330
To: KEGG GENES
vcn:VOLCADRAFT_91120 hypothetical protein 
vcn:VOLCADRAFT_91127 hypothetical protein 
vcn:VOLCADRAFT_91131 hypothetical protein 
vcn:VOLCADRAFT_91136 hypothetical protein 
vcn:VOLCADRAFT_91137 upf1; hypothetical protein 
vcn:VOLCADRAFT_91142 hypothetical protein 
vcn:VOLCADRAFT_91146 hypothetical protein 
vcn:VOLCADRAFT_91150 hypothetical protein 
vcn:VOLCADRAFT_91151 hypothetical protein 
vcn:VOLCADRAFT_91154 hypothetical protein 
vcn:VOLCADRAFT_91155 hypothetical protein 
vcn:VOLCADRAFT_91161 hypothetical protein 
vcn:VOLCADRAFT_91162 hypothetical protein 
vcn:VOLCADRAFT_91165 hypothetical protein 
vcn:VOLCADRAFT_91166 hypothetical protein 
vcn:VOLCADRAFT_91168 hypothetical protein 
vcn:VOLCADRAFT_91170 hypothetical protein 
vcn:VOLCADRAFT_91172 hypothetical protein 
vcn:VOLCADRAFT_91173 hypothetical protein 
vcn:VOLCADRAFT_91174 hypothetical protein 
vcn:VOLCADRAFT_91175 hypothetical protein 
vcn:VOLCADRAFT_91176 hypothetical protein 
vcn:VOLCADRAFT_91179 hypothetical protein 
vcn:VOLCADRAFT_91184 hypothetical protein 
vcn:VOLCADRAFT_91185 hypothetical protein 
vcn:VOLCADRAFT_91189 hypothetical protein 
vcn:VOLCADRAFT_91191 hypothetical protein 
vcn:VOLCADRAFT_91192 hypothetical protein; K01001 UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphot 
vcn:VOLCADRAFT_91194 hypothetical protein 
vcn:VOLCADRAFT_91196 hypothetical protein 
vcn:VOLCADRAFT_91197 hypothetical protein 
vcn:VOLCADRAFT_91200 TPR repeat domain, kinesin-like protein 
vcn:VOLCADRAFT_91202 hypothetical protein 
vcn:VOLCADRAFT_91205 hypothetical protein; K03544 ATP-dependent Clp protease ATP-binding subunit ClpX 
vcn:VOLCADRAFT_91207 hypothetical protein 
vcn:VOLCADRAFT_91208 vhlA; hypothetical protein 
vcn:VOLCADRAFT_91209 hypothetical protein 
vcn:VOLCADRAFT_91210 hypothetical protein 
vcn:VOLCADRAFT_91212 hypothetical protein 
vcn:VOLCADRAFT_91218 hypothetical protein; K17679 ATP-dependent RNA helicase MSS116, mitochondrial [EC:3.6.4.13] 
vcn:VOLCADRAFT_91219 hypothetical protein 
vcn:VOLCADRAFT_91220 hypothetical protein 
vcn:VOLCADRAFT_91221 hypothetical protein 
vcn:VOLCADRAFT_91222 hypothetical protein 
vcn:VOLCADRAFT_91224 hypothetical protein 
vcn:VOLCADRAFT_91226 hypothetical protein 
vcn:VOLCADRAFT_91227 hypothetical protein 
vcn:VOLCADRAFT_91228 hypothetical protein 
vcn:VOLCADRAFT_91229 hypothetical protein 
vcn:VOLCADRAFT_91231 hypothetical protein 
vcn:VOLCADRAFT_91235 hypothetical protein 
vcn:VOLCADRAFT_91237 hypothetical protein 
vcn:VOLCADRAFT_91240 hypothetical protein 
vcn:VOLCADRAFT_91243 hypothetical protein 
vcn:VOLCADRAFT_91245 hypothetical protein 
vcn:VOLCADRAFT_91246 hypothetical protein 
vcn:VOLCADRAFT_91250 hypothetical protein 
vcn:VOLCADRAFT_91252 hypothetical protein 
vcn:VOLCADRAFT_91259 hypothetical protein; K01510 apyrase [EC:3.6.1.5] 
vcn:VOLCADRAFT_91260 hypothetical protein 
vcn:VOLCADRAFT_91261 hypothetical protein 
vcn:VOLCADRAFT_91267 hypothetical protein 
vcn:VOLCADRAFT_91271 hypothetical protein 
vcn:VOLCADRAFT_91272 hypothetical protein 
vcn:VOLCADRAFT_91274 hypothetical protein 
vcn:VOLCADRAFT_91277 hypothetical protein 
vcn:VOLCADRAFT_91284 hypothetical protein 
vcn:VOLCADRAFT_91289 hypothetical protein 
vcn:VOLCADRAFT_91290 hypothetical protein 
vcn:VOLCADRAFT_91294 hypothetical protein 
vcn:VOLCADRAFT_91295 hypothetical protein 
vcn:VOLCADRAFT_91297 hypothetical protein 
vcn:VOLCADRAFT_91298 hypothetical protein 
vcn:VOLCADRAFT_91299 hypothetical protein 
vcn:VOLCADRAFT_91306 hypothetical protein 
vcn:VOLCADRAFT_91307 hypothetical protein 
vcn:VOLCADRAFT_91309 SNF2 family Chromodomain-helicase protein 
vcn:VOLCADRAFT_91310 hypothetical protein 
vcn:VOLCADRAFT_91313 hypothetical protein 
vcn:VOLCADRAFT_91314 hypothetical protein 
vcn:VOLCADRAFT_91319 hypothetical protein 
vcn:VOLCADRAFT_91321 hypothetical protein 
vcn:VOLCADRAFT_91322 hypothetical protein 
vcn:VOLCADRAFT_91325 hypothetical protein 
vcn:VOLCADRAFT_91326 hypothetical protein 
vcn:VOLCADRAFT_91327 hypothetical protein 
vcn:VOLCADRAFT_91328 hypothetical protein 
vcn:VOLCADRAFT_91329 hypothetical protein 
vcn:VOLCADRAFT_91330 hypothetical protein 
vcn:VOLCADRAFT_91331 hypothetical protein 
vcn:VOLCADRAFT_91332 hypothetical protein 
vcn:VOLCADRAFT_91334 hypothetical protein 
vcn:VOLCADRAFT_91335 hypothetical protein 
vcn:VOLCADRAFT_91338 hypothetical protein 
vcn:VOLCADRAFT_91339 hypothetical protein 
vcn:VOLCADRAFT_91340 hypothetical protein 
vcn:VOLCADRAFT_91341 hypothetical protein 
vcn:VOLCADRAFT_91342 hypothetical protein 
vcn:VOLCADRAFT_91346 hypothetical protein 
vcn:VOLCADRAFT_91351 hypothetical protein 
vcn:VOLCADRAFT_91352 hypothetical protein 
vcn:VOLCADRAFT_91353 hypothetical protein 
vcn:VOLCADRAFT_91357 hypothetical protein 
vcn:VOLCADRAFT_91360 hypothetical protein 
vcn:VOLCADRAFT_91361 hypothetical protein 
vcn:VOLCADRAFT_91363 hypothetical protein 
vcn:VOLCADRAFT_91368 hypothetical protein 
vcn:VOLCADRAFT_91369 hypothetical protein 
vcn:VOLCADRAFT_91370 hypothetical protein 
vcn:VOLCADRAFT_91371 hypothetical protein 
vcn:VOLCADRAFT_91374 hypothetical protein 
vcn:VOLCADRAFT_91376 hypothetical protein 
vcn:VOLCADRAFT_91380 hypothetical protein 
vcn:VOLCADRAFT_91381 hypothetical protein 
vcn:VOLCADRAFT_91385 hypothetical protein 
vcn:VOLCADRAFT_91386 hypothetical protein 
vcn:VOLCADRAFT_91388 hypothetical protein; K14548 U3 small nucleolar RNA-associated protein 4 
vcn:VOLCADRAFT_91392 hypothetical protein 
vcn:VOLCADRAFT_91393 hypothetical protein 
vcn:VOLCADRAFT_91394 hypothetical protein; K10606 E3 ubiquitin-protein ligase FANCL [EC:6.3.2.19] 
vcn:VOLCADRAFT_91396 hypothetical protein 
vcn:VOLCADRAFT_91397 hypothetical protein 
vcn:VOLCADRAFT_91398 hypothetical protein 
vcn:VOLCADRAFT_91399 hypothetical protein 
vcn:VOLCADRAFT_91400 hypothetical protein 
vcn:VOLCADRAFT_91401 hypothetical protein 
vcn:VOLCADRAFT_91406 hypothetical protein 
vcn:VOLCADRAFT_91407 hypothetical protein 
vcn:VOLCADRAFT_91411 hypothetical protein 
vcn:VOLCADRAFT_91413 hypothetical protein 
vcn:VOLCADRAFT_91414 hypothetical protein 
vcn:VOLCADRAFT_91420 hypothetical protein 
vcn:VOLCADRAFT_91421 hypothetical protein; K14498 serine/threonine-protein kinase SRK2 [EC:2.7.11.1] 
vcn:VOLCADRAFT_91422 hypothetical protein 
vcn:VOLCADRAFT_91425 hypothetical protein 
vcn:VOLCADRAFT_91426 hypothetical protein 
vcn:VOLCADRAFT_91427 hypothetical protein 
vcn:VOLCADRAFT_91428 hypothetical protein 
vcn:VOLCADRAFT_91429 hypothetical protein 
vcn:VOLCADRAFT_91432 hypothetical protein 
vcn:VOLCADRAFT_91437 hypothetical protein 
vcn:VOLCADRAFT_91439 hypothetical protein 
vcn:VOLCADRAFT_91440 hypothetical protein 
vcn:VOLCADRAFT_91442 hypothetical protein 
vcn:VOLCADRAFT_91444 hypothetical protein 
vcn:VOLCADRAFT_91445 hypothetical protein 
vcn:VOLCADRAFT_91452 hypothetical protein; K17583 nucleolar MIF4G domain-containing protein 1 
vcn:VOLCADRAFT_91454 hypothetical protein; K15732 RNA polymerase II subunit A C-terminal domain phosphatase [EC:3.1.3.16] 
vcn:VOLCADRAFT_91455 hypothetical protein 
vcn:VOLCADRAFT_91458 hypothetical protein; K00666 fatty-acyl-CoA synthase [EC:6.2.1.-] 
vcn:VOLCADRAFT_91459 hypothetical protein 
vcn:VOLCADRAFT_91461 hypothetical protein 
vcn:VOLCADRAFT_91464 hypothetical protein 
vcn:VOLCADRAFT_91468 hypothetical protein 
vcn:VOLCADRAFT_91469 hypothetical protein 
vcn:VOLCADRAFT_91471 hypothetical protein; K11886 proteasome component ECM29 
vcn:VOLCADRAFT_91472 hypothetical protein 
vcn:VOLCADRAFT_91473 hypothetical protein 
vcn:VOLCADRAFT_91476 hypothetical protein 
vcn:VOLCADRAFT_91477 hypothetical protein 
vcn:VOLCADRAFT_91478 hypothetical protein 
vcn:VOLCADRAFT_91480 hypothetical protein 
vcn:VOLCADRAFT_91482 hypothetical protein 
vcn:VOLCADRAFT_91483 hypothetical protein 
vcn:VOLCADRAFT_91484 hypothetical protein 
vcn:VOLCADRAFT_91485 hypothetical protein 
vcn:VOLCADRAFT_91490 hypothetical protein 
vcn:VOLCADRAFT_91491 hypothetical protein 
vcn:VOLCADRAFT_91494 hypothetical protein 
vcn:VOLCADRAFT_91495 hypothetical protein 
vcn:VOLCADRAFT_91497 hypothetical protein 
vcn:VOLCADRAFT_91500 hypothetical protein 
vcn:VOLCADRAFT_91502 hypothetical protein 
vcn:VOLCADRAFT_91503 hypothetical protein 
vcn:VOLCADRAFT_91504 hypothetical protein 
vcn:VOLCADRAFT_91505 hypothetical protein 
vcn:VOLCADRAFT_91506 hypothetical protein 
vcn:VOLCADRAFT_91507 hypothetical protein 
vcn:VOLCADRAFT_91508 hypothetical protein 
vcn:VOLCADRAFT_91510 hypothetical protein 
vcn:VOLCADRAFT_91512 hypothetical protein 
vcn:VOLCADRAFT_91513 hypothetical protein 
vcn:VOLCADRAFT_91514 hypothetical protein 
vcn:VOLCADRAFT_91516 hypothetical protein 
vcn:VOLCADRAFT_91521 hypothetical protein 
vcn:VOLCADRAFT_91522 hypothetical protein 
vcn:VOLCADRAFT_91524 hypothetical protein 
vcn:VOLCADRAFT_91526 hypothetical protein 
vcn:VOLCADRAFT_91527 hypothetical protein 
vcn:VOLCADRAFT_91528 hypothetical protein 
vcn:VOLCADRAFT_91533 hypothetical protein 
vcn:VOLCADRAFT_91534 hypothetical protein 
vcn:VOLCADRAFT_91539 hypothetical protein 
vcn:VOLCADRAFT_91543 hypothetical protein 
vcn:VOLCADRAFT_91550 hypothetical protein 
vcn:VOLCADRAFT_91554 hypothetical protein 
vcn:VOLCADRAFT_91555 hypothetical protein 
vcn:VOLCADRAFT_91556 hypothetical protein 
vcn:VOLCADRAFT_91557 hypothetical protein 
vcn:VOLCADRAFT_91558 hypothetical protein 
vcn:VOLCADRAFT_91560 hypothetical protein 
vcn:VOLCADRAFT_91561 hypothetical protein 
vcn:VOLCADRAFT_91562 hypothetical protein 
vcn:VOLCADRAFT_91563 hypothetical protein 
vcn:VOLCADRAFT_91564 hypothetical protein 
vcn:VOLCADRAFT_91565 hypothetical protein 
vcn:VOLCADRAFT_91566 hypothetical protein 
vcn:VOLCADRAFT_91567 hypothetical protein 
vcn:VOLCADRAFT_91570 hypothetical protein 
vcn:VOLCADRAFT_91573 hypothetical protein 
vcn:VOLCADRAFT_91579 hypothetical protein 
vcn:VOLCADRAFT_91583 hypothetical protein 
vcn:VOLCADRAFT_91584 hypothetical protein 
vcn:VOLCADRAFT_91585 hypothetical protein 
vcn:VOLCADRAFT_91588 hypothetical protein 
vcn:VOLCADRAFT_91589 hypothetical protein 
vcn:VOLCADRAFT_91590 hypothetical protein 
vcn:VOLCADRAFT_91593 hypothetical protein 
vcn:VOLCADRAFT_91594 hypothetical protein 
vcn:VOLCADRAFT_91596 hypothetical protein 
vcn:VOLCADRAFT_91598 hypothetical protein 
vcn:VOLCADRAFT_91599 hypothetical protein 
vcn:VOLCADRAFT_91604 hypothetical protein 
vcn:VOLCADRAFT_91609 hypothetical protein 
vcn:VOLCADRAFT_91611 hypothetical protein 
vcn:VOLCADRAFT_91614 hypothetical protein 
vcn:VOLCADRAFT_91616 hypothetical protein 
vcn:VOLCADRAFT_91623 hypothetical protein 
vcn:VOLCADRAFT_91626 hypothetical protein 
vcn:VOLCADRAFT_91627 rlsM; hypothetical protein 
vcn:VOLCADRAFT_91630 hypothetical protein 
vcn:VOLCADRAFT_91633 hypothetical protein 
vcn:VOLCADRAFT_91634 hypothetical protein 
vcn:VOLCADRAFT_91636 hypothetical protein 
vcn:VOLCADRAFT_91638 hypothetical protein 
vcn:VOLCADRAFT_91639 hypothetical protein 
vcn:VOLCADRAFT_91641 hypothetical protein 
vcn:VOLCADRAFT_91645 hypothetical protein 
vcn:VOLCADRAFT_91646 hypothetical protein 
vcn:VOLCADRAFT_91647 hypothetical protein 
vcn:VOLCADRAFT_91656 hypothetical protein 
vcn:VOLCADRAFT_91657 hypothetical protein 
vcn:VOLCADRAFT_91665 hypothetical protein 
vcn:VOLCADRAFT_91666 hypothetical protein 
vcn:VOLCADRAFT_91671 hypothetical protein 
vcn:VOLCADRAFT_91672 hypothetical protein 
vcn:VOLCADRAFT_91673 hypothetical protein 
vcn:VOLCADRAFT_91678 hypothetical protein 
vcn:VOLCADRAFT_91682 hypothetical protein; K03127 transcription initiation factor TFIID subunit 13 
vcn:VOLCADRAFT_91683 hypothetical protein 
vcn:VOLCADRAFT_91684 hypothetical protein 
vcn:VOLCADRAFT_91686 hypothetical protein 
vcn:VOLCADRAFT_91690 hypothetical protein 
vcn:VOLCADRAFT_91696 hypothetical protein 
vcn:VOLCADRAFT_91697 hypothetical protein 
vcn:VOLCADRAFT_91699 hypothetical protein 
vcn:VOLCADRAFT_91703 hypothetical protein 
vcn:VOLCADRAFT_91705 hypothetical protein 
vcn:VOLCADRAFT_91709 hypothetical protein 
vcn:VOLCADRAFT_91711 hypothetical protein 
vcn:VOLCADRAFT_91712 hypothetical protein 
vcn:VOLCADRAFT_91714 hypothetical protein 
vcn:VOLCADRAFT_91715 hypothetical protein 
vcn:VOLCADRAFT_91720 hypothetical protein 
vcn:VOLCADRAFT_91721 hypothetical protein 
vcn:VOLCADRAFT_91722 hypothetical protein; K00864 glycerol kinase [EC:2.7.1.30] 
vcn:VOLCADRAFT_91723 hypothetical protein; K14709 solute carrier family 39 (zinc transporter), member 1/2/3 
vcn:VOLCADRAFT_91724 hypothetical protein 
vcn:VOLCADRAFT_91732 hypothetical protein 
vcn:VOLCADRAFT_91736 hypothetical protein 
vcn:VOLCADRAFT_91737 hypothetical protein 
vcn:VOLCADRAFT_91739 hypothetical protein 
vcn:VOLCADRAFT_91740 hypothetical protein 
vcn:VOLCADRAFT_91743 hypothetical protein 
vcn:VOLCADRAFT_91745 hypothetical protein 
vcn:VOLCADRAFT_91750 hypothetical protein 
vcn:VOLCADRAFT_91752 hypothetical protein 
vcn:VOLCADRAFT_91753 fas1; fasciclin-like protein 
vcn:VOLCADRAFT_91754 hypothetical protein 
vcn:VOLCADRAFT_91756 hypothetical protein 
vcn:VOLCADRAFT_91758 kinesin-like protein with TPR domain 
vcn:VOLCADRAFT_91759 hypothetical protein; K01640 hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4] 
vcn:VOLCADRAFT_91762 hypothetical protein 
vcn:VOLCADRAFT_91763 hypothetical protein 
vcn:VOLCADRAFT_91766 hypothetical protein 
vcn:VOLCADRAFT_91767 hypothetical protein 
vcn:VOLCADRAFT_91768 hypothetical protein 
vcn:VOLCADRAFT_91772 hypothetical protein 
vcn:VOLCADRAFT_91774 hypothetical protein 
vcn:VOLCADRAFT_91775 hypothetical protein 
vcn:VOLCADRAFT_91776 hypothetical protein 
vcn:VOLCADRAFT_91777 hypothetical protein 
vcn:VOLCADRAFT_91779 hypothetical protein 
vcn:VOLCADRAFT_91781 hypothetical protein 
vcn:VOLCADRAFT_91782 psrA; phosphorus starvation response 1 protein, transcriptional regulator 
vcn:VOLCADRAFT_91784 hypothetical protein 
vcn:VOLCADRAFT_91786 hypothetical protein 
vcn:VOLCADRAFT_91787 hypothetical protein 
vcn:VOLCADRAFT_91788 hypothetical protein 
vcn:VOLCADRAFT_91789 hypothetical protein 
vcn:VOLCADRAFT_91790 hypothetical protein 
vcn:VOLCADRAFT_91791 hypothetical protein 
vcn:VOLCADRAFT_91792 hypothetical protein 
vcn:VOLCADRAFT_91798 hypothetical protein 
vcn:VOLCADRAFT_91800 hypothetical protein 
vcn:VOLCADRAFT_91801 hypothetical protein 
vcn:VOLCADRAFT_91802 hypothetical protein 
vcn:VOLCADRAFT_91803 hypothetical protein 
vcn:VOLCADRAFT_91804 hypothetical protein 
vcn:VOLCADRAFT_91805 hypothetical protein 
vcn:VOLCADRAFT_91806 hypothetical protein 
vcn:VOLCADRAFT_91807 hypothetical protein 
vcn:VOLCADRAFT_91808 hypothetical protein 
vcn:VOLCADRAFT_91809 hypothetical protein 
vcn:VOLCADRAFT_91810 hypothetical protein 
vcn:VOLCADRAFT_91811 hypothetical protein 
vcn:VOLCADRAFT_91812 hypothetical protein 
vcn:VOLCADRAFT_91813 hypothetical protein 
vcn:VOLCADRAFT_91814 hypothetical protein 
vcn:VOLCADRAFT_91828 hypothetical protein 
vcn:VOLCADRAFT_91830 hypothetical protein 
vcn:VOLCADRAFT_91831 hypothetical protein 
vcn:VOLCADRAFT_91833 hypothetical protein 
vcn:VOLCADRAFT_91834 hypothetical protein 
vcn:VOLCADRAFT_91842 hypothetical protein 
vcn:VOLCADRAFT_91846 hypothetical protein 
vcn:VOLCADRAFT_91849 hypothetical protein 
vcn:VOLCADRAFT_91850 hypothetical protein 
vcn:VOLCADRAFT_91852 hypothetical protein 
vcn:VOLCADRAFT_91853 hypothetical protein 
vcn:VOLCADRAFT_91857 hypothetical protein 
vcn:VOLCADRAFT_91860 hypothetical protein 
vcn:VOLCADRAFT_91861 hypothetical protein 
vcn:VOLCADRAFT_91868 hypothetical protein 
vcn:VOLCADRAFT_91876 hypothetical protein 
vcn:VOLCADRAFT_91877 hypothetical protein 
vcn:VOLCADRAFT_91878 hypothetical protein 
vcn:VOLCADRAFT_91879 hypothetical protein 
vcn:VOLCADRAFT_91880 hypothetical protein 
vcn:VOLCADRAFT_91886 hypothetical protein 
vcn:VOLCADRAFT_91888 hypothetical protein 
vcn:VOLCADRAFT_91893 hypothetical protein 
vcn:VOLCADRAFT_91894 hypothetical protein 
vcn:VOLCADRAFT_91895 hypothetical protein 
vcn:VOLCADRAFT_91896 hypothetical protein 
vcn:VOLCADRAFT_91898 hypothetical protein 
vcn:VOLCADRAFT_91899 hypothetical protein 
vcn:VOLCADRAFT_91900 hypothetical protein 
vcn:VOLCADRAFT_91902 hypothetical protein 
vcn:VOLCADRAFT_91905 hypothetical protein 
vcn:VOLCADRAFT_91906 hypothetical protein 
vcn:VOLCADRAFT_91907 hypothetical protein 
vcn:VOLCADRAFT_91908 hypothetical protein; K11647 SWI/SNF-related matrix-associated actin-dependent regulator of chromati 
vcn:VOLCADRAFT_91911 hypothetical protein 
vcn:VOLCADRAFT_91915 hypothetical protein 
vcn:VOLCADRAFT_91916 hypothetical protein 
vcn:VOLCADRAFT_91917 hypothetical protein 
vcn:VOLCADRAFT_91919 hypothetical protein 
vcn:VOLCADRAFT_91921 hypothetical protein 
vcn:VOLCADRAFT_91924 hypothetical protein 
vcn:VOLCADRAFT_91932 hypothetical protein 
vcn:VOLCADRAFT_91934 hypothetical protein 
vcn:VOLCADRAFT_91936 hypothetical protein 
vcn:VOLCADRAFT_91939 hypothetical protein 
vcn:VOLCADRAFT_91941 hypothetical protein; K13510 lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [E 
vcn:VOLCADRAFT_91942 hypothetical protein 
vcn:VOLCADRAFT_91947 hypothetical protein 
vcn:VOLCADRAFT_91949 hypothetical protein; K12188 ESCRT-II complex subunit VPS22 
vcn:VOLCADRAFT_91950 hypothetical protein 
vcn:VOLCADRAFT_91951 hypothetical protein 
vcn:VOLCADRAFT_91952 hypothetical protein; K13093 HIV Tat-specific factor 1 
vcn:VOLCADRAFT_91953 hypothetical protein 
vcn:VOLCADRAFT_91955 hypothetical protein 
vcn:VOLCADRAFT_91960 hypothetical protein 
vcn:VOLCADRAFT_91961 hypothetical protein 
vcn:VOLCADRAFT_91963 hypothetical protein 
vcn:VOLCADRAFT_91964 hypothetical protein 
vcn:VOLCADRAFT_91970 hypothetical protein 
vcn:VOLCADRAFT_91971 Jumonji domain-containing protein 
vcn:VOLCADRAFT_91972 hypothetical protein 
vcn:VOLCADRAFT_91973 hypothetical protein 
vcn:VOLCADRAFT_91976 hypothetical protein 
vcn:VOLCADRAFT_91977 rlsC; RegA-like protein RlsC 
vcn:VOLCADRAFT_91979 rlsB; RegA-like protein RlsB 
vcn:VOLCADRAFT_91983 hypothetical protein 
vcn:VOLCADRAFT_91984 hypothetical protein 
vcn:VOLCADRAFT_91985 hypothetical protein 
vcn:VOLCADRAFT_91989 msd4; superoxide dismutase [Mn] 
vcn:VOLCADRAFT_91993 syp5; Qc-SNARE, Syn8/Syntaxin8-family; K08503 syntaxin of plants SYP5 
vcn:VOLCADRAFT_91994 hypothetical protein 
vcn:VOLCADRAFT_91995 hypothetical protein 
vcn:VOLCADRAFT_91998 hypothetical protein 
vcn:VOLCADRAFT_92001 hypothetical protein 
vcn:VOLCADRAFT_92002 hypothetical protein 
vcn:VOLCADRAFT_92004 hypothetical protein 
vcn:VOLCADRAFT_92005 hypothetical protein 
vcn:VOLCADRAFT_92010 hypothetical protein 
vcn:VOLCADRAFT_92011 hypothetical protein 
vcn:VOLCADRAFT_92012 hypothetical protein 
vcn:VOLCADRAFT_92013 myb16; transcription factor Myb16 
vcn:VOLCADRAFT_92015 hypothetical protein 
vcn:VOLCADRAFT_92016 hypothetical protein 
vcn:VOLCADRAFT_92017 hypothetical protein 
vcn:VOLCADRAFT_92018 hypothetical protein 
vcn:VOLCADRAFT_92020 hypothetical protein 
vcn:VOLCADRAFT_92021 hypothetical protein 
vcn:VOLCADRAFT_92023 hypothetical protein 
vcn:VOLCADRAFT_92025 hypothetical protein 
vcn:VOLCADRAFT_92026 hypothetical protein 
vcn:VOLCADRAFT_92029 hypothetical protein 
vcn:VOLCADRAFT_92030 hypothetical protein 
vcn:VOLCADRAFT_92031 hypothetical protein; K00757 uridine phosphorylase [EC:2.4.2.3] 
vcn:VOLCADRAFT_92032 hypothetical protein 
vcn:VOLCADRAFT_92035 cyc9; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_92037 prpL11; plastid/chloroplast ribosomal protein L11 
vcn:VOLCADRAFT_92038 hypothetical protein 
vcn:VOLCADRAFT_92042 hypothetical protein 
vcn:VOLCADRAFT_92043 hypothetical protein 
vcn:VOLCADRAFT_92044 hypothetical protein 
vcn:VOLCADRAFT_92045 hypothetical protein 
vcn:VOLCADRAFT_92047 hypothetical protein 
vcn:VOLCADRAFT_92048 hypothetical protein 
vcn:VOLCADRAFT_92049 hypothetical protein 
vcn:VOLCADRAFT_92051 hypothetical protein 
vcn:VOLCADRAFT_92052 hypothetical protein 
vcn:VOLCADRAFT_92053 hypothetical protein 
vcn:VOLCADRAFT_92054 hypothetical protein 
vcn:VOLCADRAFT_92055 hypothetical protein 
vcn:VOLCADRAFT_92059 hypothetical protein 
vcn:VOLCADRAFT_92060 hypothetical protein 
vcn:VOLCADRAFT_92062 hypothetical protein 
vcn:VOLCADRAFT_92063 hypothetical protein 
vcn:VOLCADRAFT_92065 hypothetical protein 
vcn:VOLCADRAFT_92066 hypothetical protein 
vcn:VOLCADRAFT_92067 hypothetical protein 
vcn:VOLCADRAFT_92068 hypothetical protein 
vcn:VOLCADRAFT_92075 hypothetical protein 
vcn:VOLCADRAFT_92076 hypothetical protein 
vcn:VOLCADRAFT_92085 hypothetical protein 
vcn:VOLCADRAFT_92088 nuoAF1; complex I intermediate-associated CIA30 protein, mitochondrial 
vcn:VOLCADRAFT_92089 hypothetical protein 
vcn:VOLCADRAFT_92090 hypothetical protein 
vcn:VOLCADRAFT_92092 hypothetical protein 
vcn:VOLCADRAFT_92093 hypothetical protein 
vcn:VOLCADRAFT_92096 hypothetical protein 
vcn:VOLCADRAFT_92100 hypothetical protein 
vcn:VOLCADRAFT_92103 hypothetical protein 
vcn:VOLCADRAFT_92104 hypothetical protein 
vcn:VOLCADRAFT_92106 hypothetical protein 
vcn:VOLCADRAFT_92108 hypothetical protein 
vcn:VOLCADRAFT_92109 hypothetical protein 
vcn:VOLCADRAFT_92110 hypothetical protein 
vcn:VOLCADRAFT_92112 hypothetical protein 
vcn:VOLCADRAFT_92115 orc1; origin recognition complex subunit 1; K02603 origin recognition complex subunit 1 
vcn:VOLCADRAFT_92116 hypothetical protein 
vcn:VOLCADRAFT_92117 hypothetical protein 
vcn:VOLCADRAFT_92118 hypothetical protein 
vcn:VOLCADRAFT_92119 hypothetical protein 
vcn:VOLCADRAFT_92122 hypothetical protein 
vcn:VOLCADRAFT_92123 hypothetical protein 
vcn:VOLCADRAFT_92124 hypothetical protein 
vcn:VOLCADRAFT_92125 hypothetical protein 
vcn:VOLCADRAFT_92128 hypothetical protein 
vcn:VOLCADRAFT_92129 hypothetical protein 
vcn:VOLCADRAFT_92130 hypothetical protein 
vcn:VOLCADRAFT_92131 hypothetical protein 
vcn:VOLCADRAFT_92134 hypothetical protein; K11664 vacuolar protein sorting-associated protein 72 
vcn:VOLCADRAFT_92135 TIR-containing protein 
vcn:VOLCADRAFT_92136 hypothetical protein 
vcn:VOLCADRAFT_92137 hypothetical protein 
vcn:VOLCADRAFT_92138 hypothetical protein 
vcn:VOLCADRAFT_92142 hypothetical protein 
vcn:VOLCADRAFT_92144 hypothetical protein 
vcn:VOLCADRAFT_92145 hypothetical protein 
vcn:VOLCADRAFT_92146 hypothetical protein 
vcn:VOLCADRAFT_92147 hypothetical protein; K00547 homocysteine S-methyltransferase [EC:2.1.1.10] 
vcn:VOLCADRAFT_92148 hypothetical protein 
vcn:VOLCADRAFT_92150 hypothetical protein 
vcn:VOLCADRAFT_92151 hypothetical protein 
vcn:VOLCADRAFT_92153 hypothetical protein 
vcn:VOLCADRAFT_92158 hypothetical protein 
vcn:VOLCADRAFT_92161 hypothetical protein 
vcn:VOLCADRAFT_92162 hypothetical protein 
vcn:VOLCADRAFT_92163 hypothetical protein 
vcn:VOLCADRAFT_92164 hypothetical protein 
vcn:VOLCADRAFT_92166 hypothetical protein 
vcn:VOLCADRAFT_92170 hypothetical protein 
vcn:VOLCADRAFT_92173 hypothetical protein 
vcn:VOLCADRAFT_92174 hypothetical protein 
vcn:VOLCADRAFT_92175 hypothetical protein 
vcn:VOLCADRAFT_92180 hypothetical protein 
vcn:VOLCADRAFT_92181 hypothetical protein; K00761 uracil phosphoribosyltransferase [EC:2.4.2.9] 
vcn:VOLCADRAFT_92182 hypothetical protein 
vcn:VOLCADRAFT_92183 hypothetical protein 
vcn:VOLCADRAFT_92190 hypothetical protein; K13348 protein Mpv17 
vcn:VOLCADRAFT_92191 hypothetical protein 
vcn:VOLCADRAFT_92195 hypothetical protein 
vcn:VOLCADRAFT_92197 hypothetical protein 
vcn:VOLCADRAFT_92198 hypothetical protein 
vcn:VOLCADRAFT_92199 hypothetical protein 
vcn:VOLCADRAFT_92202 hypothetical protein 
